Trade,UpdateTime,UpdatedDay,UpdatedTime,TradeTime,TradedDay,TradedTime,Desk,CapturedBy,TradeStatus,TraderId,Instrument,Reason,Nominal,FloatRef,LastResetDate,LastResetRate,Theta,Loss,Unexplained,EventTypeCategoryLevel1,BusinessLineLevel1,LossIndicator,exposure
17567773,10/01/2013 15:26,10,0.607219224,09/04/2011 06:18,9,0.262511519,SND,TECHSUPPORT,BO Confirmed,ANALYST,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL3,1,642.3808218
11208877,11/01/2013 03:16,11,0.136045502,28/05/2009 05:12,28,0.216492319,MM,TECHSUPPORT,BO Confirmed,ANALYST,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,1323.91934
14098250,11/01/2013 07:27,11,0.310229994,01/05/2010 19:04,31,0.788657095,Equity,TECHSUPPORT,BO-BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,9028040.775,0,EL1,BL2,1,985.5159259
15796071,11/01/2013 09:24,11,0.391573386,19/09/2010 12:20,19,0.485911978,MM,TECHSUPPORT,BO Confirmed,ASSOCIATE,Curr,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,844.8776736
16026237,11/01/2013 10:30,11,0.395849876,23/11/2010 12:18,23,0.512329086,Prime Services,PROD CONTROLLER,BO-BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,779.924838
22349335,11/01/2013 13:02,11,0.539996602,20/07/2012 06:06,20,0.246004245,Management/Other,MIDOFFICE,BO Confirmed,DIRECTOR,Swap,Valuation Group Request,0,0,0,0,0,0,0,EL6,BL6,1,175.2889931
11659705,11/01/2013 13:26,11,0.52361458,18/07/2009 05:25,18,0.225922353,Prime Services,TECHSUPPORT,BO Confirmed,DIRECTOR,TotalReturnSwap,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,1273.333796
24275372,14/01/2013 00:11,14,0.00768943,12/01/2013 18:04,12,0.753085366,SND,PROD CONTROLLER,BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL3,1,1.254594907
2953960,14/01/2013 07:20,14,0.305492033,21/12/2006 10:19,21,0.429654278,Equity,TECHSUPPORT,BO-BO Confirmed,ANALYST,TotalReturnSwap,Corrected NDEUSSA Reset Level,0,0,0,0,0,261504.6563,0,EL6,BL2,1,2215.875544
24441317,14/01/2013 12:01,14,0.498999163,14/01/2013 09:08,14,0.380306402,Rates,PROD ACCOUNTANT,BO Confirmed,ASSOCIATE,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,0.120185185
5682568,14/01/2013 13:07,14,0.546478135,31/08/2007 02:10,31,0.089999719,Rates,TECHSUPPORT,BO-BO Confirmed,AMBA,Future/Forward,Payments Related,0,0,0,0,0,270903.7535,0,EL1,BL2,1,1963.456019
3377683,14/01/2013 13:14,14,0.551043287,17/03/2007 16:10,17,0.65970699,MM,PROD CONTROLLER,BO-BO Confirmed,ASSOCIATE,Swap,Calendar Related,0,0,0,0,0,0,0,EL6,BL5,1,2129.878113
15056886,14/01/2013 14:24,14,0.566735601,16/06/2010 07:26,16,0.273897208,Commodities,PROD CONTROLLER,BO Confirmed,DIRECTOR,Option,Trade enrichment for system flow,0,0,0,0,0,9027695.816,0,EL6,BL2,1,943.2900579
15812114,14/01/2013 14:25,14,0.565933512,16/10/2010 14:06,16,0.587308255,Derivatives,TECHSUPPORT,BO Confirmed,ASSOCIATE,Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL5,1,821.0130324
20454231,14/01/2013 15:24,14,0.641674689,28/02/2012 04:26,28,0.18466168,Derivatives,MIDOFFICE,BO Confirmed,DIRECTOR,Swap,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,321.4568981
5698312,14/01/2013 16:10,14,0.673330994,15/10/2007 19:29,15,0.771293532,Derivatives,MIDOFFICE,BO-BO Confirmed,DIRECTOR,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL5,1,1917.861852
24389398,14/01/2013 17:06,14,0.704434482,14/01/2013 17:06,14,0.704434482,Commodities,MIDOFFICE,BO Confirmed,ANALYST,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,0
21047482,14/01/2013 19:28,14,0.771888739,15/03/2012 17:01,15,0.708824147,Derivatives,UNAUTHORISED,BO Confirmed,VICE PRINCIPAL,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL4,1,305.1022106
18114330,15/01/2013 16:00,15,0.666651182,08/06/2011 02:28,8,0.063686805,Derivatives,MIDOFFICE,BO Confirmed,VICE PRINCIPAL,IndexLinkedSwap,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,587.5637037
20134710,15/01/2013 17:00,15,0.708597012,08/01/2012 01:21,8,0.027108983,Bonds/Repos,UNAUTHORISED,BO Confirmed,ASSOCIATE,ETF,Brokerage Related,0,0,0,0,0,0,0,EL7,BL2,1,373.6523264
6746347,16/01/2013 02:04,16,0.08625972,10/02/2008 08:15,10,0.343953006,Management/Other,TECHSUPPORT,BO Confirmed,DIRECTOR,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,1801.742303
20227981,16/01/2013 07:23,16,0.307496622,08/02/2012 11:15,8,0.469004044,MM,MIDOFFICE,BO Confirmed,ASSOCIATE,Curr,Commodities Early Delivery,0,0,0,0,0,0,0,EL6,BL5,1,342.8387731
6931401,16/01/2013 15:15,16,0.635638567,27/02/2008 17:07,27,0.713163827,Prime Services,TECHSUPPORT,BO Confirmed,DIRECTOR,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL6,1,1784.922407
5441767,16/01/2013 18:01,16,0.750651569,17/09/2007 05:14,17,0.198548578,SND,PROD CONTROLLER,BO Confirmed,ANALYST,TotalReturnSwap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL4,1,1948.532627
9728421,17/01/2013 02:08,17,0.078120191,18/12/2008 16:20,18,0.680873737,MM,TECHSUPPORT,BO Confirmed,DIRECTOR,Curr,Commodities Early Delivery,0,0,0,0,0,0,0,EL6,BL3,1,1490.408368
13571734,17/01/2013 03:13,17,0.134020012,09/02/2010 16:14,9,0.676082509,Commodities,PROD CONTROLLER,BO Confirmed,ASSOCIATE,Swap,Payments Related,0,0,0,0,0,250909.3937,0,EL1,BL2,1,1072.45735
24430189,17/01/2013 04:26,17,0.184552014,15/01/2013 04:12,15,0.175150307,Derivatives,TECHSUPPORT,BO-BO Confirmed,VICE PRINCIPAL,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL5,1,2.00974537
21506359,17/01/2013 06:07,17,0.244907869,26/04/2012 13:07,26,0.546289682,Bonds/Repos,TECHSUPPORT,Terminated,ASSOCIATE,Swap,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL4,BL2,1,265.7083218
6752440,17/01/2013 10:06,17,0.420489818,11/02/2008 01:11,11,0.034005681,Rates,TECHSUPPORT,BO-BO Confirmed,ANALYST,Swap,Payments Related,0,0,0,0,0,259566.1026,0,EL1,BL2,1,1802.371852
13177660,17/01/2013 10:09,17,0.422737043,12/01/2010 15:10,12,0.631934947,Prime Services,PROD CONTROLLER,BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,1100.791146
24502440,17/01/2013 14:15,17,0.593736453,17/01/2013 09:14,17,0.365507478,Derivatives,TECHSUPPORT,BO Confirmed,DIRECTOR,Swap,Payments Related,0,0,0,0,0,0,0,EL1,BL1,1,0.20880787
11402709,17/01/2013 15:02,17,0.623460466,21/06/2009 12:30,21,0.520777985,MM,PROD ACCOUNTANT,BO Confirmed,ANALYST,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,1306.105648
18622721,17/01/2013 15:07,17,0.629978396,21/07/2011 07:13,21,0.301027627,Equity,TECHSUPPORT,BO Confirmed,DIRECTOR,Deposit,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,546.3289468
6753949,17/01/2013 16:28,17,0.685994426,18/02/2008 07:25,18,0.309339646,Prime Services,TECHSUPPORT,BO Confirmed,ANALYST,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL6,1,1795.376887
24385691,18/01/2013 09:09,18,0.381204526,13/01/2013 16:16,13,0.655335125,MM,TECHSUPPORT,BO-BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL3,1,4.703298611
5476006,18/01/2013 13:13,18,0.550810659,27/07/2007 08:09,27,0.339301768,Derivatives,TECHSUPPORT,BO Confirmed,DIRECTOR,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,2002.210949
3828781,18/01/2013 15:13,18,0.634281225,05/03/2007 07:25,5,0.274233661,Bonds/Repos,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,Repo/Reverse,Operations request to change Economics of Trade,0,0,0,0,0,0,0,EL1,BL2,1,2146.325185
5484725,18/01/2013 16:03,18,0.668404654,18/09/2007 08:24,18,0.349658096,Africa,TECHSUPPORT,BO Confirmed,VICE PRINCIPAL,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,1949.31875
14151369,18/01/2013 18:29,18,0.770201958,31/03/2010 01:30,31,0.062376199,MM,PROD CONTROLLER,BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,1024.707569
2811208,21/01/2013 00:24,21,0.016408498,03/02/2007 15:16,3,0.613801436,MM,TECHSUPPORT,BO-BO Confirmed,ASSOCIATE,TotalReturnSwap,Calendar Related,0,0,0,0,0,267650.1228,0,EL6,BL2,1,2178.380718
21826818,21/01/2013 04:28,21,0.185819888,13/06/2012 08:16,13,0.344443933,Rates,TECHSUPPORT,BO-BO Confirmed,DIRECTOR,TotalReturnSwap,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,221.841956
24025827,21/01/2013 06:01,21,0.250410351,08/01/2013 11:24,8,0.441854075,Prime Services,TECHSUPPORT,BO-BO Confirmed,ANALYST,Swap,Payments Related,0,0,0,0,0,244022.7916,0,EL1,BL2,1,12.77579861
7238720,21/01/2013 14:04,21,0.586169153,26/03/2008 07:10,26,0.298728894,Derivatives,TECHSUPPORT,BO Confirmed,ANALYST,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,1762.287442
24524324,21/01/2013 16:01,21,0.666053515,17/01/2013 08:19,17,0.346752719,Derivatives,TECHSUPPORT,BO-BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL4,1,4.320694444
14214698,22/01/2013 02:04,22,0.080547279,06/04/2010 19:19,6,0.77828552,Management/Other,PROD CONTROLLER,BO Confirmed,AMBA,IndexLinkedSwap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL6,1,1021.281076
6156312,22/01/2013 09:00,22,0.375276112,17/12/2007 04:08,17,0.160968217,Bonds/Repos,TECHSUPPORT,BO-BO Confirmed,MNGDIRECTOR,Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL7,BL2,1,1863.202917
7348092,22/01/2013 10:04,22,0.413805382,03/04/2008 06:27,3,0.231191067,MM,PROD CONTROLLER,BO Confirmed,VICE PRINCIPAL,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL3,1,1755.150718
23448939,22/01/2013 12:28,22,0.480630479,01/01/2013 02:26,1,0.064981805,MM,PROD CONTROLLER,BO-BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,21.41782407
15369057,22/01/2013 13:28,22,0.560918578,21/08/2010 06:19,21,0.236493441,Commodities,PROD CONTROLLER,BO Confirmed,ANALYST,CreditDefaultSwap,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,885.2978009
15915521,22/01/2013 16:05,22,0.670211085,09/11/2010 11:11,9,0.450702355,Management/Other,PROD ACCOUNTANT,BO Confirmed,ASSOCIATE,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL6,1,805.2042245
24469965,22/01/2013 16:16,22,0.655399094,16/01/2013 10:30,16,0.396060733,Bonds/Repos,TECHSUPPORT,BO Confirmed,ASSOCIATE,Swap,Calendar Related,0,0,0,0,0,0,0,EL7,BL2,1,6.240208333
8139797,23/01/2013 00:15,23,0.010410268,07/07/2008 13:11,7,0.549058037,Equity,TECHSUPPORT,BO Confirmed,ANALYST,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,1660.46088
16044908,23/01/2013 03:00,23,0.12485892,24/11/2010 06:23,24,0.265944029,Prime Services,MIDOFFICE,BO Confirmed,VICE PRINCIPAL,Option,Trade enrichment for system flow,0,0,0,0,0,251248.7109,0,EL6,BL2,1,790.8591435
6076185,23/01/2013 03:17,23,0.136738176,06/12/2007 00:25,6,0.017511821,Derivatives,TECHSUPPORT,BO Confirmed,ANALYST,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,1875.119363
16676868,23/01/2013 09:13,23,0.384064192,15/01/2011 18:07,15,0.754947064,MM,TECHSUPPORT,BO-BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,239987.5257,0,EL1,BL3,1,738.6291204
6698156,23/01/2013 19:10,23,0.784500581,05/02/2008 18:16,5,0.739013968,Equity,TECHSUPPORT,BO Confirmed,VICE PRINCIPAL,SecurityLoan,Calendar Related,0,0,0,0,0,217419.2234,0,EL6,BL2,1,1814.037593
19375237,24/01/2013 11:10,24,0.451049987,23/09/2011 17:03,23,0.706432545,Derivatives,PROD CONTROLLER,BO Confirmed,AMBA,SecurityLoan,Calendar Related,0,0,0,0,0,243130.5806,0,EL6,BL4,1,488.7550116
23025369,25/01/2013 02:19,25,0.069891599,23/10/2012 03:15,23,0.114579902,MM,TECHSUPPORT,BO-BO Confirmed,VICE PRINCIPAL,CurrSwap,Calendar Related,0,0,0,0,0,0,0,EL6,BL5,1,93.96135417
15077743,25/01/2013 03:23,25,0.109242895,29/07/2010 03:04,29,0.122049581,Management/Other,TECHSUPPORT,BO Confirmed,VICE PRINCIPAL,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,911.0132407
18111043,25/01/2013 06:22,25,0.234983845,06/06/2011 12:05,6,0.503191182,Rates,PROD CONTROLLER,BO Confirmed,ANALYST,Swap,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,598.761794
7665818,25/01/2013 13:16,25,0.530879809,28/05/2008 11:27,28,0.476835507,Derivatives,MIDOFFICE,BO Confirmed,DIRECTOR,Call Deposit,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL2,1,1703.075775
990358,28/01/2013 02:17,28,0.071667025,22/04/2006 08:29,22,0.313435047,Equity,TECHSUPPORT,BO Confirmed,DIRECTOR,CreditDefaultSwap,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,2472.741563
22397354,28/01/2013 05:09,28,0.202227925,27/07/2012 18:08,27,0.75529773,Prime Services,TECHSUPPORT,BO Confirmed,DIRECTOR,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,218867.2617,0,EL6,BL2,1,184.458912
1171236,28/01/2013 05:19,28,0.195178984,22/03/2006 04:24,22,0.183558739,Management/Other,PROD CONTROLLER,BO Confirmed,DIRECTOR,CurrSwap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL2,1,2504.038009
749347,28/01/2013 08:19,28,0.346798884,25/02/2006 05:08,25,0.213834001,Bonds/Repos,TECHSUPPORT,BO Confirmed,DIRECTOR,Deposit,Calendar Related,0,0,0,0,0,0,0,EL7,BL2,1,2529.132847
17814631,28/01/2013 14:08,28,0.577861977,24/04/2011 07:18,24,0.279123617,Derivatives,UNAUTHORISED,BO Confirmed,ANALYST,Swap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL1,1,645.2847569
22669979,28/01/2013 15:11,28,0.617029772,28/08/2012 01:13,28,0.032931363,SND,TECHSUPPORT,BO Confirmed,ANALYST,Curr,Commodities Early Delivery,0,0,0,0,0,0,0,EL6,BL3,1,153.5819907
24868165,28/01/2013 16:28,28,0.685932182,27/01/2013 09:25,27,0.357496984,Derivatives,PROD CONTROLLER,BO Confirmed,DIRECTOR,Curr,Commodities Early Delivery,0,0,0,0,0,270043.7049,0,EL6,BL5,1,1.293784722
24710210,28/01/2013 17:30,28,0.687550286,21/01/2013 05:13,21,0.199379076,Bonds/Repos,TECHSUPPORT,BO Confirmed,ANALYST,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,7.511782407
22777969,29/01/2013 01:09,29,0.047615821,18/09/2012 07:15,18,0.302132306,Management/Other,TECHSUPPORT,BO Confirmed,ANALYST,Option,Trade enrichment for system flow,0,0,0,0,0,250550.0279,0,EL6,BL2,1,132.746088
20818571,29/01/2013 14:07,29,0.58826262,06/03/2012 18:06,6,0.745580328,Derivatives,TECHSUPPORT,BO Confirmed,ANALYST,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,328.8338426
23509153,29/01/2013 14:09,29,0.577130119,01/01/2013 08:17,1,0.345397406,Management/Other,UNAUTHORISED,BO Confirmed,DIRECTOR,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,28.24423611
21280017,29/01/2013 18:05,29,0.746223875,28/04/2012 07:20,28,0.277745241,Equity,PROD CONTROLLER,BO Confirmed,ANALYST,FRN,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,276.4481829
24885058,30/01/2013 04:09,30,0.160446262,28/01/2013 12:16,28,0.511210827,Africa,TECHSUPPORT,BO-BO Confirmed,ASSOCIATE,CurrSwap,Calendar Related,0,0,0,0,0,248242.5055,0,EL6,BL3,1,1.661736111
24437632,30/01/2013 06:23,30,0.234094437,14/01/2013 08:28,14,0.313952179,Management/Other,TECHSUPPORT,BO-BO Confirmed,DIRECTOR,FRA,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL2,1,15.91320602
