
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/2/3/4/5/6/10/12          69  -909.94 1964.06  12.35   0.00
1/3/4/5/6/10               64  -915.45 1964.21  12.50   0.00
1/3/4/5/6/10/12            65  -914.46 1964.40  12.68   0.00
1/2/3/4/5/6/7/10           69  -910.36 1964.91  13.19   0.00
1/2/3/4/5/6/10/11/12       70  -909.33 1965.03  13.31   0.00
1/2/3/4/5/6/8/10           69  -910.43 1965.04  13.32   0.00
1/3/4/5/6/10/11/12         66  -913.73 1965.11  13.40   0.00
1/3/4/5/6/10/11            65  -914.84 1965.16  13.45   0.00
1/2/3/4/5/6                65  -915.13 1965.74  14.02   0.00
1/2/3/4/5/6/7/10/11        70  -909.80 1965.97  14.25   0.00
1/2/3/4/5/6/8/10/12        70  -909.85 1966.08  14.36   0.00
1/2/3/4/5/6/7/10/12        70  -909.89 1966.16  14.44   0.00
1/2/3/4/5/6/8/10/11        70  -909.90 1966.17  14.46   0.00
1/3/4/5/6/7/10             65  -915.41 1966.30  14.58   0.00
1/3/4/5/6/8/10             65  -915.43 1966.34  14.62   0.00
1/3/4/5/6/8/10/12          66  -914.42 1966.50  14.78   0.00
1/3/4/5/6/7/10/12          66  -914.44 1966.53  14.81   0.00
1/2/3/4/5/6/11             66  -914.66 1966.98  15.26   0.00
1/2/3/4/5/6/7/10/11/12     71  -909.26 1967.07  15.35   0.00
1/2/3/4/5/6/7/8/10         70  -910.36 1967.09  15.37   0.00
1/2/3/4/5/6/8/10/11/12     71  -909.30 1967.16  15.45   0.00
1/3/4/5/6/8/10/11          66  -914.76 1967.18  15.46   0.00
1/3/4/5/6/7/10/11          66  -914.78 1967.21  15.49   0.00
1/3/4/5/6/7/10/11/12       67  -913.69 1967.22  15.50   0.00
1/3/4/5/6/8/10/11/12       67  -913.73 1967.29  15.57   0.00
1/2/3/4/5/6/12             66  -914.93 1967.51  15.79   0.00
1/2/3/4/5/6/7              66  -915.07 1967.80  16.08   0.00
1/2/3/4/5/6/8              66  -915.12 1967.90  16.18   0.00
1/2/3/4/5/6/7/8/10/11      71  -909.79 1968.14  16.42   0.00
1/2/3/4/5/6/7/8/10/12      71  -909.82 1968.19  16.48   0.00
1/3/4/5/6                  61  -920.76 1968.35  16.63   0.00
1/3/4/5/6/7/8/10           66  -915.38 1968.42  16.70   0.00
1/3/4/5/6/7/8/10/12        67  -914.41 1968.64  16.93   0.00
1/2/3/4/5/6/11/12          67  -914.42 1968.66  16.94   0.00
1/2/3/4/5/6/7/11           67  -914.57 1968.98  17.26   0.00
1/2/3/4/5/6/8/11           67  -914.66 1969.15  17.44   0.00
1/3/4/5/6/11               62  -920.10 1969.18  17.46   0.00
1/3/4/5/6/7/8/10/11        67  -914.68 1969.19  17.48   0.00
1/2/3/4/5/6/7/8/10/11/12   72  -909.24 1969.22  17.51   0.00
1/3/4/5/6/12               62  -920.20 1969.38  17.66   0.00
1/3/4/5/6/7/8/10/11/12     68  -913.69 1969.39  17.68   0.00
1/2/3/4/5/6/8/12           67  -914.87 1969.57  17.85   0.00
1/2/3/4/5/6/7/12           67  -914.89 1969.60  17.89   0.00
1/2/3/4/5/6/7/8            67  -915.07 1969.96  18.25   0.00
1/3/4/5/6/11/12            63  -919.45 1970.05  18.34   0.00
1/3/4/5/6/7                62  -920.73 1970.44  18.72   0.00
1/3/4/5/6/8                62  -920.75 1970.48  18.76   0.00
1/2/3/4/5/6/7/11/12        68  -914.35 1970.70  18.99   0.00
1/2/3/4/5/6/8/11/12        68  -914.40 1970.80  19.09   0.00
1/2/3/4/5/6/7/8/11         68  -914.57 1971.15  19.43   0.00
1/3/4/5/6/7/11             63  -920.04 1971.22  19.50   0.00
1/3/4/5/6/8/11             63  -920.04 1971.22  19.50   0.00
1/2/3/4/6/9/10             52  -931.98 1971.45  19.73   0.00
1/3/4/5/6/7/12             63  -920.18 1971.50  19.78   0.00
1/3/4/5/6/8/12             63  -920.18 1971.50  19.79   0.00
1/2/3/4/5/6/7/8/12         68  -914.84 1971.68  19.97   0.00
1/2/3/4/6/8/9/10           53  -931.15 1971.93  20.21   0.00
1/3/4/5/6/7/11/12          64  -919.41 1972.14  20.43   0.00
1/3/4/5/6/8/11/12          64  -919.45 1972.22  20.50   0.00
1/2/3/4/6/9/10/12          53  -931.46 1972.55  20.83   0.00
1/3/4/5/6/7/8              63  -920.71 1972.56  20.85   0.00
1/2/3/4/5/6/7/8/11/12      69  -914.34 1972.86  21.15   0.00
1/3/4/5/6/7/8/11           64  -919.97 1973.24  21.53   0.00
1/2/3/4/6/9/10/11          53  -931.83 1973.29  21.57   0.00
1/2/3/4/6/8/9/10/11        54  -930.84 1973.44  21.73   0.00
1/2/3/4/6/7/9/10           53  -931.96 1973.56  21.84   0.00
1/3/4/5/6/7/8/12           64  -920.16 1973.63  21.92   0.00
1/2/3/4/6/8/9/10/12        54  -930.94 1973.65  21.93   0.00
1/2/3/4/6/7/8/9/10         54  -931.15 1974.06  22.35   0.00
1/2/3/4/6/9/10/11/12       54  -931.24 1974.26  22.54   0.00
1/3/4/5/6/7/8/11/12        65  -919.41 1974.31  22.60   0.00
1/2/3/4/6/7/9/10/12        54  -931.44 1974.64  22.93   0.00
1/3/4/6/8/9/10             49  -936.90 1974.89  23.17   0.00
1/2/3/4/6/8/9/10/11/12     55  -930.60 1975.10  23.39   0.00
1/3/4/6/9/10/12            49  -937.06 1975.22  23.50   0.00
1/2/3/4/6/7/9/10/11        54  -931.82 1975.41  23.69   0.00
1/3/4/6/9/10               48  -938.25 1975.47  23.75   0.00
1/2/3/4/6/7/8/9/10/11      55  -930.84 1975.59  23.87   0.00
1/2/3/4/6/9                49  -937.27 1975.65  23.93   0.00
1/2/3/4/6/7/8/9/10/12      55  -930.93 1975.78  24.06   0.00
1/3/4/6/8/9/10/12          50  -936.33 1975.89  24.17   0.00
1/2/3/4/6/7/9/10/11/12     55  -931.23 1976.37  24.65   0.00
1/3/4/6/8/9/10/11          50  -936.58 1976.40  24.68   0.00
1/2/3/4/6/8/9              50  -936.76 1976.74  25.03   0.00
1/3/4/6/9/10/11/12         50  -936.85 1976.94  25.22   0.00
1/3/4/6/7/8/9/10           50  -936.88 1977.00  25.28   0.00
1/3/4/6/7/9/10/12          50  -937.00 1977.22  25.51   0.00
1/2/3/4/6/7/8/9/10/11/12   56  -930.59 1977.25  25.53   0.00
1/3/4/6/8/9/10/11/12       51  -935.98 1977.32  25.60   0.00
1/3/4/6/9/10/11            49  -938.12 1977.35  25.63   0.00
1/2/3/4/6/9/12             50  -937.09 1977.41  25.70   0.00
1/2/3/4/6/9/11             50  -937.14 1977.50  25.79   0.00
1/3/4/6/7/9/10             49  -938.21 1977.52  25.80   0.00
1/2/3/4/6/7/9              50  -937.26 1977.75  26.03   0.00
1/3/4/6/7/8/9/10/12        51  -936.30 1977.96  26.25   0.00
1/2/3/4/6/8/9/11           51  -936.53 1978.41  26.70   0.00
1/3/4/6/7/8/9/10/11        51  -936.58 1978.52  26.80   0.00
1/3/4/6/9                  45  -943.03 1978.68  26.96   0.00
1/2/3/4/6/8/9/12           51  -936.72 1978.79  27.08   0.00
1/2/3/4/6/7/8/9            51  -936.75 1978.86  27.15   0.00
1/3/4/6/8/9                46  -942.10 1978.93  27.21   0.00
1/3/4/6/7/9/10/11/12       51  -936.80 1978.96  27.24   0.00
1/2/3/4/6/9/11/12          51  -936.93 1979.22  27.50   0.00
1/3/4/6/7/9/10/11          50  -938.09 1979.41  27.69   0.00
1/3/4/6/7/8/9/10/11/12     52  -935.96 1979.41  27.70   0.00
1/3/4/6/9/12               46  -942.37 1979.48  27.76   0.00
1/2/3/4/6/7/9/12           51  -937.07 1979.51  27.79   0.00
1/2/3/4/6/7/9/11           51  -937.13 1979.62  27.90   0.00
1/2/3/4/6/10               46  -942.68 1980.09  28.38   0.00
1/2/3/4/6/8/9/11/12        52  -936.48 1980.45  28.74   0.00
1/3/4/6/9/11               46  -942.88 1980.49  28.77   0.00
1/3/4/6/8/9/11             47  -941.82 1980.49  28.78   0.00
1/3/4/6/8/9/12             47  -941.84 1980.54  28.82   0.00
1/2/3/4/6/7/8/9/11         52  -936.53 1980.55  28.83   0.00
1/3/4/6/7/9                46  -943.00 1980.72  29.01   0.00
1/2/3/4/6/7/8/9/12         52  -936.71 1980.92  29.20   0.00
1/3/4/6/7/8/9              47  -942.08 1981.02  29.30   0.00
1/3/4/6/9/11/12            47  -942.17 1981.20  29.48   0.00
1/2/3/4/6/7/9/11/12        52  -936.92 1981.32  29.61   0.00
1/3/4/6/7/9/12             47  -942.32 1981.50  29.78   0.00
1/2/3/4/6/10/12            47  -942.43 1981.71  30.00   0.00
1/2/3/4/6/10/11            47  -942.49 1981.83  30.11   0.00
1/3/4/6/8/9/11/12          48  -941.55 1982.08  30.36   0.00
1/2/3/4/6/8/10             47  -942.64 1982.13  30.41   0.00
1/2/3/4/6/7/10             47  -942.68 1982.20  30.49   0.00
1/3/4/6/7/9/11             47  -942.85 1982.55  30.83   0.00
1/2/3/4/6/7/8/9/11/12      53  -936.48 1982.58  30.87   0.00
1/3/4/6/7/8/9/11           48  -941.81 1982.60  30.88   0.00
1/3/4/6/7/8/9/12           48  -941.82 1982.61  30.89   0.00
1/3/4/6/7/9/11/12          48  -942.13 1983.23  31.51   0.00
1/2/3/4/6/10/11/12         48  -942.19 1983.34  31.63   0.00
1/2/3/4/6/8/10/11          48  -942.40 1983.78  32.06   0.00
1/2/3/4/6/8/10/12          48  -942.43 1983.83  32.11   0.00
1/2/3/4/6/7/10/12          48  -942.43 1983.83  32.12   0.00
1/2/3/4/6/7/10/11          48  -942.48 1983.93  32.22   0.00
1/3/4/6/7/8/9/11/12        49  -941.53 1984.16  32.45   0.00
1/3/4/6/10                 42  -948.97 1984.21  32.49   0.00
1/2/3/4/6/7/8/10           48  -942.63 1984.23  32.52   0.00
1/3/4/6/10/12              43  -948.14 1984.66  32.95   0.00
1/2/3/4/6/8/10/11/12       49  -942.17 1985.43  33.72   0.00
1/2/3/4/6/7/10/11/12       49  -942.18 1985.46  33.74   0.00
1/2/3/4/6                  43  -948.67 1985.72  34.01   0.00
1/2/3/4/6/7/8/10/11        49  -942.39 1985.87  34.15   0.00
1/3/4/6/8/10               43  -948.76 1985.90  34.18   0.00
1/2/3/4/6/7/8/10/12        49  -942.43 1985.95  34.23   0.00
1/3/4/6/10/11              43  -948.82 1986.02  34.31   0.00
1/3/4/6/7/10               43  -948.96 1986.31  34.60   0.00
1/3/4/6/10/11/12           44  -947.92 1986.34  34.62   0.00
1/3/4/6/8/10/12            44  -948.11 1986.73  35.01   0.00
1/3/4/6/7/10/12            44  -948.13 1986.76  35.04   0.00
1/2/3/4/6/11               44  -948.46 1987.41  35.69   0.00
1/2/3/4/6/7/8/10/11/12     50  -942.16 1987.54  35.83   0.00
1/3/4/6/8/10/11            44  -948.54 1987.57  35.86   0.00
1/2/3/4/6/12               44  -948.63 1987.75  36.03   0.00
1/2/3/4/6/8                44  -948.66 1987.82  36.11   0.00
1/2/3/4/6/7                44  -948.67 1987.83  36.12   0.00
1/3/4/6/7/8/10             44  -948.76 1988.01  36.30   0.00
1/3/4/6                    39  -954.03 1988.02  36.30   0.00
1/3/4/6/7/10/11            44  -948.82 1988.13  36.42   0.00
1/3/4/6/8/10/11/12         45  -947.86 1988.34  36.62   0.00
1/3/4/6/7/10/11/12         45  -947.91 1988.44  36.72   0.00
1/3/4/6/7/8/10/12          45  -948.11 1988.83  37.11   0.00
1/3/4/6/12                 40  -953.61 1989.28  37.56   0.00
1/2/3/4/6/11/12            45  -948.39 1989.39  37.68   0.00
1/2/3/4/6/8/11             45  -948.43 1989.48  37.76   0.00
1/2/3/4/6/7/11             45  -948.45 1989.52  37.80   0.00
1/3/4/6/11                 40  -953.78 1989.62  37.91   0.00
1/3/4/6/7/8/10/11          45  -948.54 1989.69  37.97   0.00
1/2/3/4/6/7/12             45  -948.63 1989.86  38.15   0.00
1/2/3/4/6/8/12             45  -948.63 1989.86  38.15   0.00
1/3/4/6/8                  40  -953.92 1989.91  38.20   0.00
1/2/3/4/6/7/8              45  -948.66 1989.94  38.22   0.00
1/3/4/6/7                  40  -954.03 1990.11  38.40   0.00
1/3/4/6/7/8/10/11/12       46  -947.86 1990.45  38.74   0.00
1/3/4/6/11/12              41  -953.30 1990.77  39.05   0.00
1/3/4/6/8/12               41  -953.60 1991.36  39.65   0.00
1/3/4/6/7/12               41  -953.60 1991.37  39.65   0.00
1/3/4/6/8/11               41  -953.62 1991.41  39.69   0.00
1/2/3/4/6/8/11/12          46  -948.39 1991.50  39.78   0.00
1/2/3/4/6/7/11/12          46  -948.39 1991.51  39.79   0.00
1/2/3/4/6/7/8/11           46  -948.43 1991.59  39.87   0.00
1/3/4/6/7/11               41  -953.78 1991.73  40.01   0.00
1/2/3/4/6/7/8/12           46  -948.63 1991.98  40.27   0.00
1/3/4/6/7/8                41  -953.92 1992.01  40.30   0.00
1/3/4/6/8/11/12            42  -953.27 1992.82  41.10   0.00
1/3/4/6/7/11/12            42  -953.30 1992.87  41.15   0.00
1/3/4/6/7/8/12             42  -953.59 1993.46  41.74   0.00
1/3/4/6/7/8/11             42  -953.62 1993.51  41.80   0.00
1/2/3/4/6/7/8/11/12        47  -948.38 1993.62  41.90   0.00
1/3/4/6/7/8/11/12          43  -953.27 1994.92  43.20   0.00
2/3/4/5/6/9                64  -931.40 1996.11  44.40   0.00
2/3/4/5/6/9/10             67  -928.19 1996.21  44.49   0.00
2/3/4/5/6/8/9/10           68  -927.39 1996.78  45.07   0.00
2/3/4/5/6/9/10/12          68  -927.49 1996.99  45.28   0.00
2/3/4/5/6/8/9              65  -930.80 1997.08  45.37   0.00
2/3/4/5/6/9/12             65  -930.97 1997.43  45.71   0.00
2/3/4/5/6/7/9/10           68  -927.93 1997.86  46.14   0.00
2/3/4/5/6/7/9              65  -931.24 1997.96  46.24   0.00
2/3/4/5/6/8/9/10/12        69  -927.03 1998.24  46.53   0.00
2/3/4/5/6/7/8/9/10         69  -927.03 1998.25  46.53   0.00
2/3/4/5/6/9/11             65  -931.39 1998.26  46.55   0.00
2/3/4/5/6/9/10/11          68  -928.15 1998.30  46.59   0.00
2/3/4/5/6/8/9/10/11        69  -927.25 1998.68  46.96   0.00
2/3/4/5/6/7/9/10/12        69  -927.27 1998.73  47.01   0.00
2/3/4/5/6/7/8/9            66  -930.58 1998.81  47.09   0.00
2/3/4/5/6/8/9/12           66  -930.61 1998.87  47.15   0.00
2/3/4/5/6/9/10/11/12       69  -927.42 1999.03  47.32   0.00
2/3/4/5/6/8/9/11           66  -930.75 1999.15  47.43   0.00
2/3/4/5/6/7/9/12           66  -930.84 1999.33  47.62   0.00
3/4/5/6/9/10/12            64  -933.03 1999.37  47.65   0.00
2/3/4/5/6/9/11/12          66  -930.96 1999.57  47.85   0.00
3/4/5/6/9/10               63  -934.24 1999.62  47.91   0.00
3/4/5/6/8/9/10             64  -933.18 1999.68  47.96   0.00
2/3/4/5/6/7/8/9/10/12      70  -926.72 1999.82  48.10   0.00
2/3/4/5/6/7/9/10/11        69  -927.86 1999.91  48.20   0.00
2/3/4/5/6/7/8/9/10/11      70  -926.83 2000.03  48.32   0.00
2/3/4/5/6/7/9/11           66  -931.22 2000.09  48.38   0.00
2/3/4/5/6/8/9/10/11/12     70  -926.87 2000.12  48.40   0.00
3/4/5/6/8/9/10/12          65  -932.49 2000.47  48.75   0.00
2/3/4/5/6/7/8/9/12         67  -930.42 2000.66  48.95   0.00
2/3/4/5/6/7/9/10/11/12     70  -927.18 2000.72  49.01   0.00
3/4/5/6/7/8/9/10           65  -932.66 2000.80  49.09   0.00
2/3/4/5/6/7/8/9/11         67  -930.50 2000.82  49.11   0.00
3/4/5/6/7/9/10/12          65  -932.68 2000.85  49.13   0.00
3/4/5/6/9                  60  -938.10 2000.86  49.15   0.00
2/3/4/5/6/8/9/11/12        67  -930.55 2000.93  49.22   0.00
3/4/5/6/7/9/10             64  -933.86 2001.03  49.31   0.00
3/4/5/6/9/12               61  -937.14 2001.10  49.38   0.00
3/4/5/6/9/10/11/12         65  -932.93 2001.35  49.63   0.00
2/3/4/5/6/7/9/11/12        67  -930.81 2001.45  49.73   0.00
3/4/5/6/8/9                61  -937.33 2001.48  49.76   0.00
3/4/5/6/8/9/10/11          65  -933.02 2001.52  49.80   0.00
2/3/4/5/6/7/8/9/10/11/12   71  -926.52 2001.59  49.87   0.00
3/4/5/6/9/10/11            64  -934.19 2001.69  49.97   0.00
3/4/5/6/7/8/9/10/12        66  -932.04 2001.73  50.01   0.00
3/4/5/6/8/9/10/11/12       66  -932.31 2002.26  50.55   0.00
3/4/5/6/7/9                61  -937.84 2002.50  50.78   0.00
3/4/5/6/7/8/9/10/11        66  -932.42 2002.50  50.78   0.00
3/4/5/6/8/9/12             62  -936.77 2002.53  50.81   0.00
2/3/4/5/6/7/8/9/11/12      68  -930.34 2002.68  50.96   0.00
3/4/5/6/7/9/10/11/12       66  -932.56 2002.77  51.06   0.00
3/4/5/6/7/9/12             62  -936.91 2002.80  51.08   0.00
3/4/5/6/7/8/9              62  -936.98 2002.95  51.23   0.00
3/4/5/6/9/11               61  -938.08 2002.98  51.27   0.00
3/4/5/6/7/9/10/11          65  -933.78 2003.04  51.33   0.00
3/4/5/6/9/11/12            62  -937.10 2003.19  51.47   0.00
3/4/5/6/7/8/9/10/11/12     67  -931.78 2003.40  51.68   0.00
3/4/5/6/8/9/11             62  -937.26 2003.50  51.78   0.00
3/4/5/6/7/8/9/12           63  -936.48 2004.10  52.38   0.00
3/4/5/6/8/9/11/12          63  -936.69 2004.53  52.81   0.00
3/4/5/6/7/9/11             62  -937.80 2004.59  52.87   0.00
3/4/5/6/7/9/11/12          63  -936.85 2004.85  53.14   0.00
3/4/5/6/7/8/9/11           63  -936.87 2004.88  53.17   0.00
2/3/4/5/6/10               61  -939.35 2005.53  53.81   0.00
3/4/5/6/7/8/9/11/12        64  -936.36 2006.03  54.31   0.00
2/3/4/5/6/7/10             62  -938.95 2006.88  55.17   0.00
2/3/4/5/6/10/12            62  -939.01 2007.00  55.28   0.00
2/3/4/5/6/10/11            62  -939.28 2007.53  55.82   0.00
2/3/4/5/6/8/10             62  -939.34 2007.66  55.94   0.00
2/3/4/5/6                  58  -943.73 2007.82  56.10   0.00
2/3/4/5/6/7/10/12          63  -938.64 2008.43  56.72   0.00
2/3/4/5/6/7/10/11          63  -938.83 2008.80  57.08   0.00
2/3/4/5/6/10/11/12         63  -938.90 2008.94  57.23   0.00
2/3/4/5/6/7/8/10           63  -938.92 2008.99  57.27   0.00
2/3/4/5/6/8/10/12          63  -939.00 2009.15  57.44   0.00
2/3/4/5/6/7                59  -943.44 2009.40  57.68   0.00
2/3/4/5/6/8/10/11          63  -939.25 2009.64  57.92   0.00
2/3/4/5/6/12               59  -943.57 2009.64  57.93   0.00
2/3/4/5/6/11               59  -943.69 2009.89  58.17   0.00
2/3/4/5/6/8                59  -943.73 2009.97  58.25   0.00
2/3/4/5/6/7/10/11/12       64  -938.49 2010.29  58.57   0.00
2/3/4/5/6/7/8/10/12        64  -938.64 2010.60  58.88   0.00
2/3/4/5/6/7/8/10/11        64  -938.76 2010.84  59.12   0.00
2/3/4/5/6/8/10/11/12       64  -938.90 2011.11  59.39   0.00
2/3/4/5/6/7/12             60  -943.31 2011.29  59.57   0.00
2/3/4/5/6/7/11             60  -943.37 2011.40  59.68   0.00
3/4/5/6/10                 57  -946.60 2011.41  59.70   0.00
2/3/4/5/6/7/8              60  -943.44 2011.54  59.82   0.00
2/3/4/5/6/11/12            60  -943.51 2011.69  59.97   0.00
3/4/5/6/10/12              58  -945.68 2011.71  59.99   0.00
2/3/4/5/6/8/12             60  -943.56 2011.79  60.07   0.00
2/3/4/5/6/8/11             60  -943.68 2012.03  60.31   0.00
2/3/4/5/6/7/8/10/11/12     65  -938.48 2012.44  60.73   0.00
3/4/5/6/7/10               58  -946.14 2012.64  60.93   0.00
3/4/5/6/7/10/12            59  -945.27 2013.04  61.32   0.00
2/3/4/5/6/7/11/12          61  -943.22 2013.26  61.54   0.00
3/4/5/6/10/11              58  -946.45 2013.26  61.55   0.00
3/4/5/6/8/10               58  -946.48 2013.32  61.60   0.00
3/4/5/6/10/11/12           59  -945.46 2013.43  61.71   0.00
2/3/4/5/6/7/8/12           61  -943.31 2013.44  61.73   0.00
2/3/4/5/6/7/8/11           61  -943.35 2013.51  61.80   0.00
2/3/4/5/6/8/11/12          61  -943.51 2013.84  62.12   0.00
3/4/5/6/8/10/12            59  -945.68 2013.86  62.14   0.00
3/4/5/6/7/10/11            59  -945.94 2014.39  62.67   0.00
3/4/5/6/7/8/10             59  -945.98 2014.46  62.74   0.00
3/4/5/6/7/10/11/12         60  -944.99 2014.64  62.92   0.00
3/4/5/6/8/10/11            59  -946.28 2015.07  63.35   0.00
3/4/5/6/7/8/10/12          60  -945.25 2015.17  63.45   0.00
3/4/5/6                    54  -951.74 2015.24  63.52   0.00
2/3/4/5/6/7/8/11/12        62  -943.22 2015.42  63.70   0.00
3/4/5/6/8/10/11/12         60  -945.44 2015.55  63.83   0.00
3/4/5/6/12                 55  -950.98 2015.87  64.15   0.00
3/4/5/6/7/8/10/11          60  -945.69 2016.04  64.32   0.00
2/3/4/6/9/10               45  -961.77 2016.15  64.44   0.00
2/3/4/6/8/9/10             46  -960.82 2016.38  64.66   0.00
3/4/5/6/7                  55  -951.39 2016.68  64.97   0.00
3/4/5/6/7/8/10/11/12       61  -944.94 2016.71  64.99   0.00
3/4/5/6/11                 55  -951.58 2017.07  65.36   0.00
2/3/4/6/9/10/12            46  -961.24 2017.21  65.49   0.00
3/4/5/6/8                  55  -951.66 2017.22  65.51   0.00
3/4/5/6/7/12               56  -950.69 2017.43  65.71   0.00
3/4/5/6/11/12              56  -950.77 2017.59  65.88   0.00
3/4/5/6/8/12               56  -950.98 2018.02  66.30   0.00
2/3/4/6/8/9/10/12          47  -960.62 2018.09  66.37   0.00
2/3/4/6/7/9/10             46  -961.73 2018.19  66.48   0.00
2/3/4/6/9/10/11            46  -961.77 2018.26  66.55   0.00
2/3/4/6/7/8/9/10           47  -960.74 2018.33  66.61   0.00
3/4/5/6/7/11               56  -951.17 2018.40  66.69   0.00
