
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/2/3/4/5/6/10/12          69  -909.94 1964.06  12.35   0.00
1/3/4/5/6/10               64  -915.45 1964.21  12.50   0.00
1/3/4/5/6/10/12            65  -914.46 1964.40  12.68   0.00
1/2/3/4/5/6/7/10           69  -910.36 1964.91  13.19   0.00
1/2/3/4/5/6/10/11/12       70  -909.33 1965.03  13.31   0.00
1/2/3/4/5/6/8/10           69  -910.43 1965.04  13.32   0.00
1/3/4/5/6/10/11/12         66  -913.73 1965.11  13.40   0.00
1/3/4/5/6/10/11            65  -914.84 1965.16  13.45   0.00
1/2/3/4/5/6                65  -915.13 1965.74  14.02   0.00
1/2/3/4/5/6/7/10/11        70  -909.80 1965.97  14.25   0.00
1/2/3/4/5/6/8/10/12        70  -909.85 1966.08  14.36   0.00
1/2/3/4/5/6/7/10/12        70  -909.89 1966.16  14.44   0.00
1/2/3/4/5/6/8/10/11        70  -909.90 1966.17  14.46   0.00
1/3/4/5/6/7/10             65  -915.41 1966.30  14.58   0.00
1/3/4/5/6/8/10             65  -915.43 1966.34  14.62   0.00
1/3/4/5/6/8/10/12          66  -914.42 1966.50  14.78   0.00
1/3/4/5/6/7/10/12          66  -914.44 1966.53  14.81   0.00
1/2/3/4/5/6/11             66  -914.66 1966.98  15.26   0.00
1/2/3/4/5/6/7/10/11/12     71  -909.26 1967.07  15.35   0.00
1/2/3/4/5/6/7/8/10         70  -910.36 1967.09  15.37   0.00
1/2/3/4/5/6/8/10/11/12     71  -909.30 1967.16  15.45   0.00
1/3/4/5/6/8/10/11          66  -914.76 1967.18  15.46   0.00
1/3/4/5/6/7/10/11          66  -914.78 1967.21  15.49   0.00
1/3/4/5/6/7/10/11/12       67  -913.69 1967.22  15.50   0.00
1/3/4/5/6/8/10/11/12       67  -913.73 1967.29  15.57   0.00
1/2/3/4/5/6/12             66  -914.93 1967.51  15.79   0.00
1/2/3/4/5/6/7              66  -915.07 1967.80  16.08   0.00
1/2/3/4/5/6/8              66  -915.12 1967.90  16.18   0.00
1/2/3/4/5/6/7/8/10/11      71  -909.79 1968.14  16.42   0.00
1/2/3/4/5/6/7/8/10/12      71  -909.82 1968.19  16.48   0.00
1/3/4/5/6                  61  -920.76 1968.35  16.63   0.00
1/3/4/5/6/7/8/10           66  -915.38 1968.42  16.70   0.00
1/3/4/5/6/7/8/10/12        67  -914.41 1968.64  16.93   0.00
1/2/3/4/5/6/11/12          67  -914.42 1968.66  16.94   0.00
1/2/3/4/5/6/7/11           67  -914.57 1968.98  17.26   0.00
1/2/3/4/5/6/8/11           67  -914.66 1969.15  17.44   0.00
1/3/4/5/6/11               62  -920.10 1969.18  17.46   0.00
1/3/4/5/6/7/8/10/11        67  -914.68 1969.19  17.48   0.00
1/2/3/4/5/6/7/8/10/11/12   72  -909.24 1969.22  17.51   0.00
1/3/4/5/6/12               62  -920.20 1969.38  17.66   0.00
1/3/4/5/6/7/8/10/11/12     68  -913.69 1969.39  17.68   0.00
1/2/3/4/5/6/8/12           67  -914.87 1969.57  17.85   0.00
1/2/3/4/5/6/7/12           67  -914.89 1969.60  17.89   0.00
1/2/3/4/5/6/7/8            67  -915.07 1969.96  18.25   0.00
1/3/4/5/6/11/12            63  -919.45 1970.05  18.34   0.00
1/3/4/5/6/7                62  -920.73 1970.44  18.72   0.00
1/3/4/5/6/8                62  -920.75 1970.48  18.76   0.00
1/2/3/4/5/6/7/11/12        68  -914.35 1970.70  18.99   0.00
1/2/3/4/5/6/8/11/12        68  -914.40 1970.80  19.09   0.00
1/2/3/4/5/6/7/8/11         68  -914.57 1971.15  19.43   0.00
1/3/4/5/6/7/11             63  -920.04 1971.22  19.50   0.00
1/3/4/5/6/8/11             63  -920.04 1971.22  19.50   0.00
1/2/3/4/6/9/10             52  -931.98 1971.45  19.73   0.00
1/3/4/5/6/7/12             63  -920.18 1971.50  19.78   0.00
1/3/4/5/6/8/12             63  -920.18 1971.50  19.79   0.00
1/2/3/4/5/6/7/8/12         68  -914.84 1971.68  19.97   0.00
1/2/3/4/6/8/9/10           53  -931.15 1971.93  20.21   0.00
1/3/4/5/6/7/11/12          64  -919.41 1972.14  20.43   0.00
1/3/4/5/6/8/11/12          64  -919.45 1972.22  20.50   0.00
1/2/3/4/6/9/10/12          53  -931.46 1972.55  20.83   0.00
1/3/4/5/6/7/8              63  -920.71 1972.56  20.85   0.00
1/2/3/4/5/6/7/8/11/12      69  -914.34 1972.86  21.15   0.00
1/3/4/5/6/7/8/11           64  -919.97 1973.24  21.53   0.00
1/2/3/4/6/9/10/11          53  -931.83 1973.29  21.57   0.00
1/2/3/4/6/8/9/10/11        54  -930.84 1973.44  21.73   0.00
1/2/3/4/6/7/9/10           53  -931.96 1973.56  21.84   0.00
1/3/4/5/6/7/8/12           64  -920.16 1973.63  21.92   0.00
1/2/3/4/6/8/9/10/12        54  -930.94 1973.65  21.93   0.00
1/2/3/4/6/7/8/9/10         54  -931.15 1974.06  22.35   0.00
1/2/3/4/6/9/10/11/12       54  -931.24 1974.26  22.54   0.00
1/3/4/5/6/7/8/11/12        65  -919.41 1974.31  22.60   0.00
1/2/3/4/6/7/9/10/12        54  -931.44 1974.64  22.93   0.00
1/3/4/6/8/9/10             49  -936.90 1974.89  23.17   0.00
1/2/3/4/6/8/9/10/11/12     55  -930.60 1975.10  23.39   0.00
1/3/4/6/9/10/12            49  -937.06 1975.22  23.50   0.00
1/2/3/4/6/7/9/10/11        54  -931.82 1975.41  23.69   0.00
1/3/4/6/9/10               48  -938.25 1975.47  23.75   0.00
1/2/3/4/6/7/8/9/10/11      55  -930.84 1975.59  23.87   0.00
1/2/3/4/6/9                49  -937.27 1975.65  23.93   0.00
1/2/3/4/6/7/8/9/10/12      55  -930.93 1975.78  24.06   0.00
1/3/4/6/8/9/10/12          50  -936.33 1975.89  24.17   0.00
1/2/3/4/6/7/9/10/11/12     55  -931.23 1976.37  24.65   0.00
1/3/4/6/8/9/10/11          50  -936.58 1976.40  24.68   0.00
1/2/3/4/6/8/9              50  -936.76 1976.74  25.03   0.00
1/3/4/6/9/10/11/12         50  -936.85 1976.94  25.22   0.00
1/3/4/6/7/8/9/10           50  -936.88 1977.00  25.28   0.00
1/3/4/6/7/9/10/12          50  -937.00 1977.22  25.51   0.00
1/2/3/4/6/7/8/9/10/11/12   56  -930.59 1977.25  25.53   0.00
1/3/4/6/8/9/10/11/12       51  -935.98 1977.32  25.60   0.00
1/3/4/6/9/10/11            49  -938.12 1977.35  25.63   0.00
1/2/3/4/6/9/12             50  -937.09 1977.41  25.70   0.00
1/2/3/4/6/9/11             50  -937.14 1977.50  25.79   0.00
1/3/4/6/7/9/10             49  -938.21 1977.52  25.80   0.00
1/2/3/4/6/7/9              50  -937.26 1977.75  26.03   0.00
1/3/4/6/7/8/9/10/12        51  -936.30 1977.96  26.25   0.00
1/2/3/4/6/8/9/11           51  -936.53 1978.41  26.70   0.00
1/3/4/6/7/8/9/10/11        51  -936.58 1978.52  26.80   0.00
1/3/4/6/9                  45  -943.03 1978.68  26.96   0.00
1/2/3/4/6/8/9/12           51  -936.72 1978.79  27.08   0.00
1/2/3/4/6/7/8/9            51  -936.75 1978.86  27.15   0.00
1/3/4/6/8/9                46  -942.10 1978.93  27.21   0.00
1/3/4/6/7/9/10/11/12       51  -936.80 1978.96  27.24   0.00
1/2/3/4/6/9/11/12          51  -936.93 1979.22  27.50   0.00
1/3/4/6/7/9/10/11          50  -938.09 1979.41  27.69   0.00
1/3/4/6/7/8/9/10/11/12     52  -935.96 1979.41  27.70   0.00
1/3/4/6/9/12               46  -942.37 1979.48  27.76   0.00
1/2/3/4/6/7/9/12           51  -937.07 1979.51  27.79   0.00
1/2/3/4/6/7/9/11           51  -937.13 1979.62  27.90   0.00
1/2/3/4/6/10               46  -942.68 1980.09  28.38   0.00
1/2/3/4/6/8/9/11/12        52  -936.48 1980.45  28.74   0.00
1/3/4/6/9/11               46  -942.88 1980.49  28.77   0.00
1/3/4/6/8/9/11             47  -941.82 1980.49  28.78   0.00
1/3/4/6/8/9/12             47  -941.84 1980.54  28.82   0.00
1/2/3/4/6/7/8/9/11         52  -936.53 1980.55  28.83   0.00
1/3/4/6/7/9                46  -943.00 1980.72  29.01   0.00
1/2/3/4/6/7/8/9/12         52  -936.71 1980.92  29.20   0.00
1/3/4/6/7/8/9              47  -942.08 1981.02  29.30   0.00
1/3/4/6/9/11/12            47  -942.17 1981.20  29.48   0.00
1/2/3/4/6/7/9/11/12        52  -936.92 1981.32  29.61   0.00
1/3/4/6/7/9/12             47  -942.32 1981.50  29.78   0.00
1/2/3/4/6/10/12            47  -942.43 1981.71  30.00   0.00
1/2/3/4/6/10/11            47  -942.49 1981.83  30.11   0.00
1/3/4/6/8/9/11/12          48  -941.55 1982.08  30.36   0.00
1/2/3/4/6/8/10             47  -942.64 1982.13  30.41   0.00
1/2/3/4/6/7/10             47  -942.68 1982.20  30.49   0.00
1/3/4/6/7/9/11             47  -942.85 1982.55  30.83   0.00
1/2/3/4/6/7/8/9/11/12      53  -936.48 1982.58  30.87   0.00
1/3/4/6/7/8/9/11           48  -941.81 1982.60  30.88   0.00
1/3/4/6/7/8/9/12           48  -941.82 1982.61  30.89   0.00
1/3/4/6/7/9/11/12          48  -942.13 1983.23  31.51   0.00
1/2/3/4/6/10/11/12         48  -942.19 1983.34  31.63   0.00
1/2/3/4/6/8/10/11          48  -942.40 1983.78  32.06   0.00
1/2/3/4/6/8/10/12          48  -942.43 1983.83  32.11   0.00
1/2/3/4/6/7/10/12          48  -942.43 1983.83  32.12   0.00
 [ reached getOption("max.print") -- omitted 3896 rows ]

Term codes: 
     BusinessLineLevel1              CapturedBy                    Desk EventTypeCategoryLevel1              Instrument                  Reason               TradedDay 
                      1                       2                       3                       4                       5                       6                       7 
             TradedTime                TraderId             TradeStatus              UpdatedDay             UpdatedTime 
                      8                       9                      10                      11                      12 

Model-averaged coefficients:  
(full average) 
                                                          Estimate   Std. Error  Adjusted SE z value             Pr(>|z|)    
(Intercept)                                             -8.8787031    0.6796955    0.6801422  13.054 < 0.0000000000000002 ***
BusinessLineLevel1BL1                                    2.1990778    0.7561376    0.7566563   2.906             0.003657 ** 
BusinessLineLevel1BL3                                   -0.9757639    0.6262275    0.6267127   1.557             0.119481    
BusinessLineLevel1BL4                                   -2.6859817    0.5441946    0.5446131   4.932            0.0000008 ***
BusinessLineLevel1BL5                                   -1.8351287    0.4922025    0.4925780   3.726             0.000195 ***
BusinessLineLevel1BL6                                    0.6907694    1.0892788    1.0900078   0.634             0.526258    
BusinessLineLevel1BL7                                  -13.8690897 1822.4256962 1823.8425007   0.008             0.993933    
BusinessLineLevel1BL9                                   21.9293672  819.1412328  819.7781267   0.027             0.978659    
DeskAfrica                                               2.6638254    0.6141599    0.6145644   4.334            0.0000146 ***
DeskBonds/Repos                                          2.8614565    0.4150348    0.4153324   6.890 < 0.0000000000000002 ***
DeskCommodities                                          0.8374079    0.5773402    0.5775861   1.450             0.147103    
DeskDerivatives                                          0.0938421    0.5196582    0.5200309   0.180             0.856796    
DeskEquity                                               1.1580070    0.3888296    0.3891092   2.976             0.002920 ** 
DeskManagement/Other                                   -16.8321767  819.1402878  819.7771812   0.021             0.983618    
DeskMM                                                   1.7677941    0.5264042    0.5267619   3.356             0.000791 ***
DeskPrime Services                                       0.5859774    1.1461265    1.1467616   0.511             0.609362    
DeskSND                                                  1.5540972    0.6846709    0.6851998   2.268             0.023324 *  
EventTypeCategoryLevel1EL1                               4.6608888    0.6823239    0.6828341   6.826 < 0.0000000000000002 ***
EventTypeCategoryLevel1EL4                               1.0244537    0.5257579    0.5261249   1.947             0.051515 .  
EventTypeCategoryLevel1EL6                               7.0542841    0.8402098    0.8408161   8.390 < 0.0000000000000002 ***
EventTypeCategoryLevel1EL8                              -3.5582594    1.0856581    1.0864933   3.275             0.001057 ** 
InstrumentBill                                           0.8785449    0.7839937    0.7845996   1.120             0.262826    
InstrumentBond                                          -0.1840620    0.4170528    0.4173442   0.441             0.659190    
InstrumentBuySellback                                    0.7166388    0.7198198    0.7203757   0.995             0.319827    
InstrumentCall Deposit                                  -1.1806710    0.4266362    0.4269644   2.765             0.005688 ** 
InstrumentCombination                                    0.5286339    1.1450102    1.1458788   0.461             0.644558    
InstrumentCreditDefaultSwap                             -1.7802894    0.6706260    0.6711392   2.653             0.007987 ** 
InstrumentCurr                                          -1.0499370    0.5007145    0.5011016   2.095             0.036148 *  
InstrumentCurrSwap                                      -1.0070097    0.5044565    0.5048397   1.995             0.046074 *  
InstrumentDeposit                                        0.4556083    0.3618001    0.3620761   1.258             0.208275    
InstrumentEquityIndex                                  -15.7467581 1419.1243216 1420.2275038   0.011             0.991154    
InstrumentETF                                            3.0651188    1.3054201    1.3064207   2.346             0.018966 *  
InstrumentFRA                                          -15.0414617  986.3234467  987.0902064   0.015             0.987842    
InstrumentFRN                                            0.5851823    0.5599759    0.5603794   1.044             0.296365    
InstrumentFuture/Forward                                -0.4884910    0.3770461    0.3773063   1.295             0.195431    
InstrumentIndexLinkedBond                               -1.7752927    0.6472282    0.6477195   2.741             0.006128 ** 
InstrumentIndexLinkedSwap                               -0.4842555    0.3842343    0.3845283   1.259             0.207904    
InstrumentOption                                         0.1256043    0.5923983    0.5928436   0.212             0.832210    
InstrumentOther                                         -0.3369413    0.2765225    0.2767353   1.218             0.223392    
InstrumentRepo/Reverse                                  -2.0009504    0.5938833    0.5943387   3.367             0.000761 ***
InstrumentSecurityLoan                                  -1.2864516    0.3461556    0.3464223   3.714             0.000204 ***
InstrumentStock                                         -0.5806859    2.1984298    2.2001290   0.264             0.791832    
InstrumentTotalReturnSwap                               -0.8033741    0.3697911    0.3700768   2.171             0.029944 *  
ReasonAcquirer                                           2.0248298    1.3039062    1.3048077   1.552             0.120705    
ReasonBrokerage Related                                  1.2819414    1.0694934    1.0702793   1.198             0.231009    
ReasonCalendar Related                                   1.8963670    0.4258797    0.4261818   4.450            0.0000086 ***
ReasonCapture Errors - Direction / Amount / Rate / CP    0.9860837    0.4105764    0.4108730   2.400             0.016396 *  
ReasonClient Request to Amend Economics of Deal         -0.0225502    1.0093297    1.0100771   0.022             0.982189    
ReasonCommodities Early Delivery                         1.3216858    0.8845219    0.8851866   1.493             0.135407    
ReasonCorrected NDEUSSA Reset Level                     -3.8940181    0.8831458    0.8837540   4.406            0.0000105 ***
ReasonCPI Fixings                                       -4.5372221    0.8630591    0.8636444   5.254            0.0000001 ***
ReasonEarly Termination / Delivery / Close out          -3.4642627    0.7262186    0.7267480   4.767            0.0000019 ***
ReasonFees/Commissions Related                          -0.6434868    0.9213938    0.9220639   0.698             0.485254    
ReasonOperations request to change Economics of Trade   -1.2727438    0.9685105    0.9692461   1.313             0.189140    
ReasonPayments Related                                   0.3097870    0.6576338    0.6580910   0.471             0.637829    
ReasonPortfolio Move / Restructure                      -3.4379978    2.2001669    2.2018689   1.561             0.118429    
ReasonSales Credits                                      2.9051211    1.1945822    1.1954005   2.430             0.015088 *  
ReasonSystem Update Call Accounts                       -5.5650068    0.9028657    0.9035366   6.159 < 0.0000000000000002 ***
ReasonTrade Restructure                                -13.7306356  801.1635356  801.7863489   0.017             0.986337    
ReasonTri-Optima                                        -1.8103809    1.3222422    1.3229053   1.368             0.171159    
ReasonValuation Group Request                            1.4109237    0.6042975    0.6047613   2.333             0.019647 *  
TraderIdAMBA                                             0.1469376    0.6180489    0.6184714   0.238             0.812205    
TraderIdANALYST                                          0.1031346    0.2816760    0.2818794   0.366             0.714453    
TraderIdASSOCIATE                                       -0.4694817    0.3620466    0.3622989   1.296             0.195030    
TraderIdATS                                              3.6517019    0.6517425    0.6521871   5.599 < 0.0000000000000002 ***
TraderIdMNGDIRECTOR                                      0.2258536    0.3313708    0.3316220   0.681             0.495835    
TraderIdVICE PRINCIPAL                                   0.1845696    0.3744434    0.3746939   0.493             0.622304    
TradeStatusBO-BO Confirmed                              -0.4502038    0.2933359    0.2934609   1.534             0.125000    
TradeStatusTerminated                                    2.0501475    1.2927044    1.2932193   1.585             0.112897    
TradeStatusTerminated/Void                             -11.3989715 3991.3792400 3994.4829583   0.003             0.997723    
UpdatedTime                                              0.4141693    0.6317367    0.6319710   0.655             0.512235    
CapturedByMIDOFFICE                                      0.3000223    0.3902080    0.3903254   0.769             0.442103    
CapturedByPROD ACCOUNTANT                               -0.1468411    0.3949380    0.3952004   0.372             0.710220    
CapturedByPROD CONTROLLER                               -0.3944590    0.4673887    0.4674837   0.844             0.398786    
CapturedByUNAUTHORISED                                  -0.0858343    0.3776174    0.3778936   0.227             0.820316    
TradedTime                                               0.2847775    0.5839947    0.5842525   0.487             0.625959    
UpdatedDay                                              -0.0027196    0.0068597    0.0068633   0.396             0.691912    
TradedDay                                               -0.0002386    0.0039133    0.0039163   0.061             0.951423    
 
(conditional average) 
                                                          Estimate   Std. Error  Adjusted SE z value             Pr(>|z|)    
(Intercept)                                             -8.8787031    0.6796955    0.6801422  13.054 < 0.0000000000000002 ***
BusinessLineLevel1BL1                                    2.1990778    0.7561376    0.7566563   2.906             0.003657 ** 
BusinessLineLevel1BL3                                   -0.9757639    0.6262275    0.6267127   1.557             0.119481    
BusinessLineLevel1BL4                                   -2.6859817    0.5441946    0.5446131   4.932            0.0000008 ***
BusinessLineLevel1BL5                                   -1.8351287    0.4922025    0.4925780   3.726             0.000195 ***
BusinessLineLevel1BL6                                    0.6907694    1.0892788    1.0900078   0.634             0.526258    
BusinessLineLevel1BL7                                  -13.8690897 1822.4256964 1823.8425009   0.008             0.993933    
BusinessLineLevel1BL9                                   21.9293672  819.1412329  819.7781268   0.027             0.978659    
DeskAfrica                                               2.6638254    0.6141599    0.6145644   4.334            0.0000146 ***
DeskBonds/Repos                                          2.8614565    0.4150348    0.4153324   6.890 < 0.0000000000000002 ***
DeskCommodities                                          0.8374079    0.5773402    0.5775861   1.450             0.147103    
DeskDerivatives                                          0.0938421    0.5196582    0.5200309   0.180             0.856796    
DeskEquity                                               1.1580070    0.3888296    0.3891092   2.976             0.002920 ** 
DeskManagement/Other                                   -16.8321767  819.1402878  819.7771812   0.021             0.983618    
DeskMM                                                   1.7677941    0.5264042    0.5267619   3.356             0.000791 ***
DeskPrime Services                                       0.5859774    1.1461265    1.1467616   0.511             0.609362    
DeskSND                                                  1.5540972    0.6846709    0.6851998   2.268             0.023324 *  
EventTypeCategoryLevel1EL1                               4.6608888    0.6823239    0.6828341   6.826 < 0.0000000000000002 ***
EventTypeCategoryLevel1EL4                               1.0244537    0.5257579    0.5261249   1.947             0.051515 .  
EventTypeCategoryLevel1EL6                               7.0542841    0.8402098    0.8408161   8.390 < 0.0000000000000002 ***
EventTypeCategoryLevel1EL8                              -3.5582594    1.0856581    1.0864933   3.275             0.001057 ** 
InstrumentBill                                           0.8785715    0.7839907    0.7845966   1.120             0.262810    
InstrumentBond                                          -0.1840675    0.4170579    0.4173493   0.441             0.659184    
InstrumentBuySellback                                    0.7166604    0.7198199    0.7203758   0.995             0.319813    
InstrumentCall Deposit                                  -1.1807067    0.4265933    0.4269216   2.766             0.005681 ** 
InstrumentCombination                                    0.5286499    1.1450238    1.1458925   0.461             0.644552    
InstrumentCreditDefaultSwap                             -1.7803432    0.6705647    0.6710780   2.653             0.007979 ** 
InstrumentCurr                                          -1.0499687    0.5006888    0.5010760   2.095             0.036133 *  
InstrumentCurrSwap                                      -1.0070401    0.5044338    0.5048170   1.995             0.046058 *  
InstrumentDeposit                                        0.4556221    0.3617969    0.3620729   1.258             0.208258    
InstrumentEquityIndex                                  -15.7472339 1419.1457596 1420.2489585   0.011             0.991154    
InstrumentETF                                            3.0652114    1.3053311    1.3063317   2.346             0.018954 *  
InstrumentFRA                                          -15.0419162  986.3383450  987.1051163   0.015             0.987842    
InstrumentFRN                                            0.5852000    0.5599752    0.5603786   1.044             0.296349    
InstrumentFuture/Forward                                -0.4885058    0.3770422    0.3773025   1.295             0.195412    
InstrumentIndexLinkedBond                               -1.7753463    0.6471644    0.6476557   2.741             0.006122 ** 
InstrumentIndexLinkedSwap                               -0.4842702    0.3842309    0.3845249   1.259             0.207886    
InstrumentOption                                         0.1256081    0.5924068    0.5928522   0.212             0.832208    
InstrumentOther                                         -0.3369515    0.2765204    0.2767333   1.218             0.223375    
InstrumentRepo/Reverse                                  -2.0010109    0.5937904    0.5942459   3.367             0.000759 ***
InstrumentSecurityLoan                                  -1.2864905    0.3460886    0.3463554   3.714             0.000204 ***
InstrumentStock                                         -0.5807035    2.1984607    2.2001600   0.264             0.791829    
InstrumentTotalReturnSwap                               -0.8033984    0.3697704    0.3700560   2.171             0.029930 *  
ReasonAcquirer                                           2.0248298    1.3039062    1.3048077   1.552             0.120705    
ReasonBrokerage Related                                  1.2819414    1.0694934    1.0702793   1.198             0.231009    
ReasonCalendar Related                                   1.8963670    0.4258797    0.4261818   4.450            0.0000086 ***
ReasonCapture Errors - Direction / Amount / Rate / CP    0.9860837    0.4105764    0.4108730   2.400             0.016396 *  
ReasonClient Request to Amend Economics of Deal         -0.0225502    1.0093297    1.0100771   0.022             0.982189    
ReasonCommodities Early Delivery                         1.3216858    0.8845219    0.8851866   1.493             0.135407    
ReasonCorrected NDEUSSA Reset Level                     -3.8940181    0.8831458    0.8837540   4.406            0.0000105 ***
ReasonCPI Fixings                                       -4.5372221    0.8630591    0.8636444   5.254            0.0000001 ***
ReasonEarly Termination / Delivery / Close out          -3.4642627    0.7262186    0.7267480   4.767            0.0000019 ***
ReasonFees/Commissions Related                          -0.6434868    0.9213938    0.9220639   0.698             0.485254    
ReasonOperations request to change Economics of Trade   -1.2727438    0.9685105    0.9692461   1.313             0.189140    
ReasonPayments Related                                   0.3097870    0.6576338    0.6580910   0.471             0.637829    
ReasonPortfolio Move / Restructure                      -3.4379978    2.2001669    2.2018689   1.561             0.118429    
ReasonSales Credits                                      2.9051211    1.1945822    1.1954005   2.430             0.015088 *  
ReasonSystem Update Call Accounts                       -5.5650068    0.9028657    0.9035366   6.159 < 0.0000000000000002 ***
ReasonTrade Restructure                                -13.7306356  801.1635356  801.7863489   0.017             0.986337    
ReasonTri-Optima                                        -1.8103809    1.3222422    1.3229053   1.368             0.171159    
ReasonValuation Group Request                            1.4109237    0.6042975    0.6047613   2.333             0.019647 *  
