	
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/2/3/4/5/6/10/12          69  -909.94 1964.06  12.35   0.00
1/3/4/5/6/10               64  -915.45 1964.21  12.50   0.00
1/3/4/5/6/10/12            65  -914.46 1964.40  12.68   0.00
1/2/3/4/5/6/7/10           69  -910.36 1964.91  13.19   0.00
1/2/3/4/5/6/10/11/12       70  -909.33 1965.03  13.31   0.00
1/2/3/4/5/6/8/10           69  -910.43 1965.04  13.32   0.00
1/3/4/5/6/10/11/12         66  -913.73 1965.11  13.40   0.00
1/3/4/5/6/10/11            65  -914.84 1965.16  13.45   0.00
1/2/3/4/5/6                65  -915.13 1965.74  14.02   0.00
1/2/3/4/5/6/7/10/11        70  -909.80 1965.97  14.25   0.00
1/2/3/4/5/6/8/10/12        70  -909.85 1966.08  14.36   0.00
1/2/3/4/5/6/7/10/12        70  -909.89 1966.16  14.44   0.00
1/2/3/4/5/6/8/10/11        70  -909.90 1966.17  14.46   0.00
1/3/4/5/6/7/10             65  -915.41 1966.30  14.58   0.00
1/3/4/5/6/8/10             65  -915.43 1966.34  14.62   0.00
1/3/4/5/6/8/10/12          66  -914.42 1966.50  14.78   0.00
1/3/4/5/6/7/10/12          66  -914.44 1966.53  14.81   0.00
1/2/3/4/5/6/11             66  -914.66 1966.98  15.26   0.00
1/2/3/4/5/6/7/10/11/12     71  -909.26 1967.07  15.35   0.00
1/2/3/4/5/6/7/8/10         70  -910.36 1967.09  15.37   0.00
1/2/3/4/5/6/8/10/11/12     71  -909.30 1967.16  15.45   0.00
1/3/4/5/6/8/10/11          66  -914.76 1967.18  15.46   0.00
1/3/4/5/6/7/10/11          66  -914.78 1967.21  15.49   0.00
1/3/4/5/6/7/10/11/12       67  -913.69 1967.22  15.50   0.00
1/3/4/5/6/8/10/11/12       67  -913.73 1967.29  15.57   0.00
1/2/3/4/5/6/12             66  -914.93 1967.51  15.79   0.00
1/2/3/4/5/6/7              66  -915.07 1967.80  16.08   0.00
1/2/3/4/5/6/8              66  -915.12 1967.90  16.18   0.00
1/2/3/4/5/6/7/8/10/11      71  -909.79 1968.14  16.42   0.00
1/2/3/4/5/6/7/8/10/12      71  -909.82 1968.19  16.48   0.00
1/3/4/5/6                  61  -920.76 1968.35  16.63   0.00
1/3/4/5/6/7/8/10           66  -915.38 1968.42  16.70   0.00
1/3/4/5/6/7/8/10/12        67  -914.41 1968.64  16.93   0.00
1/2/3/4/5/6/11/12          67  -914.42 1968.66  16.94   0.00
1/2/3/4/5/6/7/11           67  -914.57 1968.98  17.26   0.00
1/2/3/4/5/6/8/11           67  -914.66 1969.15  17.44   0.00
1/3/4/5/6/11               62  -920.10 1969.18  17.46   0.00
1/3/4/5/6/7/8/10/11        67  -914.68 1969.19  17.48   0.00
1/2/3/4/5/6/7/8/10/11/12   72  -909.24 1969.22  17.51   0.00
1/3/4/5/6/12               62  -920.20 1969.38  17.66   0.00
1/3/4/5/6/7/8/10/11/12     68  -913.69 1969.39  17.68   0.00
1/2/3/4/5/6/8/12           67  -914.87 1969.57  17.85   0.00
1/2/3/4/5/6/7/12           67  -914.89 1969.60  17.89   0.00
1/2/3/4/5/6/7/8            67  -915.07 1969.96  18.25   0.00
1/3/4/5/6/11/12            63  -919.45 1970.05  18.34   0.00
1/3/4/5/6/7                62  -920.73 1970.44  18.72   0.00
1/3/4/5/6/8                62  -920.75 1970.48  18.76   0.00
1/2/3/4/5/6/7/11/12        68  -914.35 1970.70  18.99   0.00
1/2/3/4/5/6/8/11/12        68  -914.40 1970.80  19.09   0.00
1/2/3/4/5/6/7/8/11         68  -914.57 1971.15  19.43   0.00
1/3/4/5/6/7/11             63  -920.04 1971.22  19.50   0.00
1/3/4/5/6/8/11             63  -920.04 1971.22  19.50   0.00
1/2/3/4/6/9/10             52  -931.98 1971.45  19.73   0.00
1/3/4/5/6/7/12             63  -920.18 1971.50  19.78   0.00
1/3/4/5/6/8/12             63  -920.18 1971.50  19.79   0.00
1/2/3/4/5/6/7/8/12         68  -914.84 1971.68  19.97   0.00
1/2/3/4/6/8/9/10           53  -931.15 1971.93  20.21   0.00
1/3/4/5/6/7/11/12          64  -919.41 1972.14  20.43   0.00
1/3/4/5/6/8/11/12          64  -919.45 1972.22  20.50   0.00
1/2/3/4/6/9/10/12          53  -931.46 1972.55  20.83   0.00
1/3/4/5/6/7/8              63  -920.71 1972.56  20.85   0.00
1/2/3/4/5/6/7/8/11/12      69  -914.34 1972.86  21.15   0.00
1/3/4/5/6/7/8/11           64  -919.97 1973.24  21.53   0.00
1/2/3/4/6/9/10/11          53  -931.83 1973.29  21.57   0.00
1/2/3/4/6/8/9/10/11        54  -930.84 1973.44  21.73   0.00
1/2/3/4/6/7/9/10           53  -931.96 1973.56  21.84   0.00
1/3/4/5/6/7/8/12           64  -920.16 1973.63  21.92   0.00
1/2/3/4/6/8/9/10/12        54  -930.94 1973.65  21.93   0.00
1/2/3/4/6/7/8/9/10         54  -931.15 1974.06  22.35   0.00
1/2/3/4/6/9/10/11/12       54  -931.24 1974.26  22.54   0.00
1/3/4/5/6/7/8/11/12        65  -919.41 1974.31  22.60   0.00
1/2/3/4/6/7/9/10/12        54  -931.44 1974.64  22.93   0.00
1/3/4/6/8/9/10             49  -936.90 1974.89  23.17   0.00
1/2/3/4/6/8/9/10/11/12     55  -930.60 1975.10  23.39   0.00
1/3/4/6/9/10/12            49  -937.06 1975.22  23.50   0.00
1/2/3/4/6/7/9/10/11        54  -931.82 1975.41  23.69   0.00
1/3/4/6/9/10               48  -938.25 1975.47  23.75   0.00
1/2/3/4/6/7/8/9/10/11      55  -930.84 1975.59  23.87   0.00
1/2/3/4/6/9                49  -937.27 1975.65  23.93   0.00
1/2/3/4/6/7/8/9/10/12      55  -930.93 1975.78  24.06   0.00
1/3/4/6/8/9/10/12          50  -936.33 1975.89  24.17   0.00
1/2/3/4/6/7/9/10/11/12     55  -931.23 1976.37  24.65   0.00
1/3/4/6/8/9/10/11          50  -936.58 1976.40  24.68   0.00
1/2/3/4/6/8/9              50  -936.76 1976.74  25.03   0.00
1/3/4/6/9/10/11/12         50  -936.85 1976.94  25.22   0.00
1/3/4/6/7/8/9/10           50  -936.88 1977.00  25.28   0.00
1/3/4/6/7/9/10/12          50  -937.00 1977.22  25.51   0.00
1/2/3/4/6/7/8/9/10/11/12   56  -930.59 1977.25  25.53   0.00
1/3/4/6/8/9/10/11/12       51  -935.98 1977.32  25.60   0.00
1/3/4/6/9/10/11            49  -938.12 1977.35  25.63   0.00
1/2/3/4/6/9/12             50  -937.09 1977.41  25.70   0.00
1/2/3/4/6/9/11             50  -937.14 1977.50  25.79   0.00
1/3/4/6/7/9/10             49  -938.21 1977.52  25.80   0.00
1/2/3/4/6/7/9              50  -937.26 1977.75  26.03   0.00
1/3/4/6/7/8/9/10/12        51  -936.30 1977.96  26.25   0.00
1/2/3/4/6/8/9/11           51  -936.53 1978.41  26.70   0.00
1/3/4/6/7/8/9/10/11        51  -936.58 1978.52  26.80   0.00
1/3/4/6/9                  45  -943.03 1978.68  26.96   0.00
1/2/3/4/6/8/9/12           51  -936.72 1978.79  27.08   0.00
1/2/3/4/6/7/8/9            51  -936.75 1978.86  27.15   0.00
1/3/4/6/8/9                46  -942.10 1978.93  27.21   0.00
1/3/4/6/7/9/10/11/12       51  -936.80 1978.96  27.24   0.00
1/2/3/4/6/9/11/12          51  -936.93 1979.22  27.50   0.00
1/3/4/6/7/9/10/11          50  -938.09 1979.41  27.69   0.00
1/3/4/6/7/8/9/10/11/12     52  -935.96 1979.41  27.70   0.00
1/3/4/6/9/12               46  -942.37 1979.48  27.76   0.00
1/2/3/4/6/7/9/12           51  -937.07 1979.51  27.79   0.00
1/2/3/4/6/7/9/11           51  -937.13 1979.62  27.90   0.00
1/2/3/4/6/10               46  -942.68 1980.09  28.38   0.00
1/2/3/4/6/8/9/11/12        52  -936.48 1980.45  28.74   0.00
1/3/4/6/9/11               46  -942.88 1980.49  28.77   0.00
1/3/4/6/8/9/11             47  -941.82 1980.49  28.78   0.00
1/3/4/6/8/9/12             47  -941.84 1980.54  28.82   0.00
1/2/3/4/6/7/8/9/11         52  -936.53 1980.55  28.83   0.00
1/3/4/6/7/9                46  -943.00 1980.72  29.01   0.00
1/2/3/4/6/7/8/9/12         52  -936.71 1980.92  29.20   0.00
1/3/4/6/7/8/9              47  -942.08 1981.02  29.30   0.00
1/3/4/6/9/11/12            47  -942.17 1981.20  29.48   0.00
1/2/3/4/6/7/9/11/12        52  -936.92 1981.32  29.61   0.00
1/3/4/6/7/9/12             47  -942.32 1981.50  29.78   0.00
1/2/3/4/6/10/12            47  -942.43 1981.71  30.00   0.00
1/2/3/4/6/10/11            47  -942.49 1981.83  30.11   0.00
1/3/4/6/8/9/11/12          48  -941.55 1982.08  30.36   0.00
1/2/3/4/6/8/10             47  -942.64 1982.13  30.41   0.00
1/2/3/4/6/7/10             47  -942.68 1982.20  30.49   0.00
1/3/4/6/7/9/11             47  -942.85 1982.55  30.83   0.00
1/2/3/4/6/7/8/9/11/12      53  -936.48 1982.58  30.87   0.00
1/3/4/6/7/8/9/11           48  -941.81 1982.60  30.88   0.00
1/3/4/6/7/8/9/12           48  -941.82 1982.61  30.89   0.00
1/3/4/6/7/9/11/12          48  -942.13 1983.23  31.51   0.00
1/2/3/4/6/10/11/12         48  -942.19 1983.34  31.63   0.00
1/2/3/4/6/8/10/11          48  -942.40 1983.78  32.06   0.00
1/2/3/4/6/8/10/12          48  -942.43 1983.83  32.11   0.00
1/2/3/4/6/7/10/12          48  -942.43 1983.83  32.12   0.00
 [ reached getOption("max.print") -- omitted 3896 rows ]

Term codes: 
BusinessLineLevel1 CapturedBy  Desk  EventTypeCategoryLevel1 Instrument                 
1                  2           3     4                       5                                  
Reason TradedDay TradedTime TraderId TradeStatus UpdatedDay UpdatedTime 
6      7	  8         9        10          11         12 

